Vendor Name,,,,,,,
TEKSYSTEMS CANADA,,BS,,,,,
TELECOM COMPUTER SERVICES,,BS,,,,,
TELEDYNE,,BS,,,,,
TELESAT,,SI,,,,,
TELUS CANADA,,SI,,,,,
TERAMACH TECHNOLOGIES,,BS,,,,,
TES CONTRACT SERVICES,,BS,,,,,
TFORCE LOGISTICS CANADA,,BS,,,,,
THALES,,SI,,,,,
THE AIM GROUP,,BS,,,,,
THE HALIFAX COMPUTER CONSULTING GROUP,,BS,,,,,
THE HALIFAX GROUP,,BS,,,,,
THE IT BROKER,,BS,,,,,
THE KTL GROUP,,BS,,,,,
THE RIGHT DOOR CONSULTING,,BS,,,,,
THE VCAN GROUP,,BS,,,,,
THINKON,,BS,,,,,
THINKPOINT,,BS,,,,,
THOMAS SCHMIDT,,BS,,,,,
THOMSON REUTERS,,BS,,,,,
THRIVE HEALTH,,BS,,,,,
TIREE,,BS,,,,,
TPG TECHNOLOGY CONSULTANTS,,BS,,,,,
TRANSPOLAR TECHNOLOGY,,BS,,,,,
TRM TECHNOLOGIES,,BS,,,,,
TUNDRA TECHNICAL SOLUTIONS,,BS,,,,,
TURTLE ISLAND STAFFING,,BS,,,,,
UNIVERSITE DE SHERBROOKE,,BS,,,,,
UNIVERSITE LAVAL,,BS,,,,,
UNIVERSITE SAINTE ANNE,,BS,,,,,
UNIVERSITY OF ALBERTA,,BS,,,,,
UNIVERSITY OF CALGARY,,BS,,,,,
UNIVERSITY OF GUELPH,,BS,,,,,
UNIVERSITY OF NEW BRUNSWICK,,BS,,,,,
UNIVERSITY OF OTTAWA,,BS,,,,,
UNIVERSITY OF SASKATCHEWAN,,BS,,,,,
UNIVERSITY OF TORONTO,,BS,,,,,
UNIVERSITY OF WATERLOO,,BS,,,,,
VALCOM CONSULTING,,BS,,,,,
VANCOUVER FRASER PORT AUTHORITY,,BS,,,,,
VANCOUVER SHIPYARDS,,BS,,,,,
VERITAAQ TECHNOLOGY HOUSE,,BS,,,,,
VERSATIL BPI,,BS,,,,,
VFA CANADA,,BS,,,,,
VIDCRUITER,,BS,,,,,
VMWARE,,LC,,,,,
WAINWRIGHT MARINE SERVICES,,BS,,,,,
WAJAX,,BS,,,,,
WATERSHED INFORMATION TECHNOLOGY,,BS,,,,,
WILLS TRANSFER,,BS,,,,,
WOLTERS KLUWER,,BS,,,,,
WOOD MACKENZIE,,BS,,,,,
WORKDYNAMICS TECHNOLOGIES,,BS,,,,,
WORLD UNIVERSITY SERVICE OF CANADA,,BS,,,,,
WORLDREACH SOFTWARE,,BS,,,,,
WPP GROUP CANADA COMMUNICATIONS,,BS,,,,,
WSP,,BS,,,,,
XANADU QUANTUM TECHNOLOGIES,,BS,,,,,
XANALYS CANADA,,BS,,,,,
XEROX,,LC,,,,,
XPERA RISK MITIGATION INVESTIGATION,,BS,,,,,
ZAYO CANADA,,BS,,,,,
ZERNAM ENTERPRISE,,BS,,,,,
ZYCOM,,BS,,,,,
